Row,Line,Node,Level,OrbitIdx,OrbitRep,StabOrder,OrbitLength,SV_length
0,0,51768,12,0,"0,1,2,3,55,71,91,107,128,160,219,255",1,6950204928,0
1,1,51769,12,1,"0,1,2,3,55,71,91,107,128,160,219,267",2,3475102464,0
2,2,51770,12,2,"0,1,2,3,55,71,91,107,128,160,255,303",2,3475102464,0
3,3,51771,12,3,"0,1,2,3,55,71,91,107,128,219,231,255",1,6950204928,0
4,4,51772,12,4,"0,1,2,3,55,71,91,107,128,219,231,267",1,6950204928,0
5,5,51773,12,5,"0,1,2,3,55,71,91,107,128,219,255,299",1,6950204928,0
6,6,51774,12,6,"0,1,2,3,55,71,91,107,128,231,255,303",1,6950204928,0
7,7,51775,12,7,"0,1,2,3,55,71,91,107,133,147,186,219",1,6950204928,0
8,8,51776,12,8,"0,1,2,3,55,71,91,107,133,186,219,299",1,6950204928,0
9,9,51777,12,9,"0,1,2,3,55,71,91,107,134,148,183,212",1,6950204928,0
10,10,51778,12,10,"0,1,2,3,55,71,91,107,134,148,183,231",1,6950204928,0
11,11,51779,12,11,"0,1,2,3,55,71,91,107,134,148,195,231",2,3475102464,0
12,12,51780,12,12,"0,1,2,3,55,71,91,107,134,148,212,262",4,1737551232,0
13,13,51781,12,13,"0,1,2,3,55,71,91,107,134,148,231,262",2,3475102464,0
14,14,51782,12,14,"0,1,2,3,55,71,91,107,134,149,221,303",1,6950204928,0
15,15,51783,12,15,"0,1,2,3,55,71,91,107,134,149,231,303",1,6950204928,0
16,16,51784,12,16,"0,1,2,3,55,71,91,107,134,183,231,262",2,3475102464,0
17,17,51785,12,17,"0,1,2,3,55,71,91,107,134,221,262,301",2,3475102464,0
18,18,51786,12,18,"0,1,2,3,55,71,91,107,147,183,267,303",2,3475102464,0
19,19,51787,12,19,"0,1,2,3,55,71,91,107,148,183,212,231",2,3475102464,0
20,20,51788,12,20,"0,1,2,3,55,71,91,107,183,219,231,267",2,3475102464,0
21,21,51789,12,21,"0,1,2,3,55,71,91,107,183,231,255,303",2,3475102464,0
22,22,51790,12,22,"0,1,2,3,55,71,91,110,133,143,175,236",1,6950204928,0
23,23,51791,12,23,"0,1,2,3,55,71,91,110,133,143,175,284",1,6950204928,0
24,24,51792,12,24,"0,1,2,3,55,71,91,110,133,143,219,284",2,3475102464,0
25,25,51793,12,25,"0,1,2,3,55,71,91,110,133,175,215,301",1,6950204928,0
26,26,51794,12,26,"0,1,2,3,55,71,91,110,135,175,215,284",1,6950204928,0
27,27,51795,12,27,"0,1,2,3,55,71,91,110,143,183,204,219",1,6950204928,0
28,28,51796,12,28,"0,1,2,3,55,71,91,110,143,219,243,301",1,6950204928,0
29,29,51797,12,29,"0,1,2,3,55,71,91,110,143,243,284,303",1,6950204928,0
30,30,51798,12,30,"0,1,2,3,55,71,91,110,158,182,197,300",1,6950204928,0
31,31,51799,12,31,"0,1,2,3,55,71,91,110,158,183,204,215",2,3475102464,0
32,32,51800,12,32,"0,1,2,3,55,71,91,110,158,183,215,286",1,6950204928,0
33,33,51801,12,33,"0,1,2,3,55,71,91,110,158,185,215,286",1,6950204928,0
34,34,51802,12,34,"0,1,2,3,55,71,91,110,158,185,233,286",1,6950204928,0
35,35,51803,12,35,"0,1,2,3,55,71,91,110,182,197,243,300",1,6950204928,0
36,36,51804,12,36,"0,1,2,3,55,71,91,110,183,204,219,267",2,3475102464,0
37,37,51805,12,37,"0,1,2,3,55,71,91,110,183,215,255,286",1,6950204928,0
38,38,51806,12,38,"0,1,2,3,55,71,91,110,185,215,255,286",1,6950204928,0
39,39,51807,12,39,"0,1,2,3,55,71,91,110,215,255,286,301",1,6950204928,0
40,40,51808,12,40,"0,1,2,3,55,71,91,113,133,161,186,298",4,1737551232,0
41,41,51809,12,41,"0,1,2,3,55,71,91,113,133,161,219,238",1,6950204928,0
42,42,51810,12,42,"0,1,2,3,55,71,91,113,133,175,195,284",1,6950204928,0
43,43,51811,12,43,"0,1,2,3,55,71,91,113,133,187,284,298",1,6950204928,0
